订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119245291,2011-9-7 0:00,119970,产品A,100,6,600
119245292,2011-9-7 0:00,130887,产品B,200,10,2000
119245293,2011-9-7 0:00,132368,产品B,200,7,1400
119245294,2011-9-7 0:00,133422,产品A,100,10,1000
119245295,2011-9-7 0:00,138462,产品B,200,8,1600
119245296,2011-9-7 0:00,149841,产品B,200,9,1800
119245297,2011-9-7 0:00,151129,产品A,100,3,300
119245298,2011-9-7 0:00,154583,产品A,100,8,800
119245299,2011-9-7 0:00,162870,产品A,100,7,700
119245300,2011-9-7 0:00,164038,产品D,300,4,1200
119245301,2011-9-7 0:00,168738,产品B,200,5,1000
119245302,2011-9-7 0:00,177562,产品B,200,2,400
119245303,2011-9-7 0:00,182291,产品D,300,10,3000
119245304,2011-9-7 0:00,192415,产品D,300,7,2100
119245305,2011-9-7 0:01,104629,产品A,100,3,300
119245306,2011-9-7 0:01,124230,产品A,100,5,500
119245307,2011-9-7 0:01,125428,产品E,400,1,400
119245308,2011-9-7 0:01,137401,产品D,300,3,900
119245309,2011-9-7 0:01,149841,产品B,200,5,1000
119245310,2011-9-7 0:01,149841,产品B,200,1,200
119245311,2011-9-7 0:01,154656,产品A,100,5,500
119245312,2011-9-7 0:01,155250,产品A,100,8,800
119245313,2011-9-7 0:01,163133,产品A,100,7,700
119245314,2011-9-7 0:01,163648,产品A,100,9,900
119245315,2011-9-7 0:01,164894,产品A,100,8,800
119245316,2011-9-7 0:01,169983,产品D,300,7,2100
119245317,2011-9-7 0:01,171318,产品D,300,9,2700
119245318,2011-9-7 0:01,188536,产品A,100,6,600
119245319,2011-9-7 0:01,193738,产品A,100,4,400
119245320,2011-9-7 0:01,197966,产品D,300,10,3000
119245321,2011-9-7 0:02,103868,产品B,200,6,1200
119245322,2011-9-7 0:02,107347,产品A,100,5,500
119245323,2011-9-7 0:02,112193,产品A,100,6,600
119245324,2011-9-7 0:02,125091,产品A,100,6,600
119245325,2011-9-7 0:02,128284,产品A,100,6,600
119245326,2011-9-7 0:02,138256,产品A,100,9,900
119245327,2011-9-7 0:02,148694,产品D,300,7,2100
119245328,2011-9-7 0:02,149841,产品B,200,9,1800
119245329,2011-9-7 0:02,149841,产品B,200,7,1400
119245330,2011-9-7 0:02,152397,产品C,280,4,1120
119245331,2011-9-7 0:02,154656,产品A,100,4,400
119245332,2011-9-7 0:02,164269,产品A,100,3,300
119245333,2011-9-7 0:02,168272,产品A,100,6,600
119245334,2011-9-7 0:02,175827,产品B,200,9,1800
119245335,2011-9-7 0:02,182209,产品A,100,5,500
119245336,2011-9-7 0:02,186326,产品B,200,2,400
119245337,2011-9-7 0:02,187014,产品A,100,7,700
119245338,2011-9-7 0:02,196695,产品A,100,5,500
119245339,2011-9-7 0:03,110405,产品A,100,8,800
119245340,2011-9-7 0:03,116858,产品B,200,10,2000
119245341,2011-9-7 0:03,117680,产品D,300,7,2100
119245342,2011-9-7 0:03,130887,产品B,200,7,1400
119245343,2011-9-7 0:03,140447,产品D,300,5,1500
119245344,2011-9-7 0:03,144053,产品D,300,1,300
119245345,2011-9-7 0:03,149841,产品B,200,6,1200
119245346,2011-9-7 0:03,161164,产品A,100,3,300
119245347,2011-9-7 0:03,181670,产品A,100,9,900
119245348,2011-9-7 0:03,181670,产品A,100,5,500
119245349,2011-9-7 0:03,193738,产品A,100,1,100
119245350,2011-9-7 0:03,193771,产品D,300,1,300
119245351,2011-9-7 0:03,196695,产品A,100,10,1000
119245352,2011-9-7 0:04,113438,产品A,100,8,800
119245353,2011-9-7 0:04,118006,产品A,100,2,200
119245354,2011-9-7 0:04,121514,产品D,300,10,3000
119245355,2011-9-7 0:04,139445,产品A,100,10,1000
119245356,2011-9-7 0:04,139984,产品A,100,1,100
119245357,2011-9-7 0:04,143592,产品A,100,4,400
119245358,2011-9-7 0:04,167181,产品D,300,6,1800
119245359,2011-9-7 0:04,169839,产品D,300,10,3000
119245360,2011-9-7 0:04,177564,产品D,300,2,600
119245361,2011-9-7 0:04,192680,产品A,100,4,400
119245362,2011-9-7 0:04,193771,产品D,300,4,1200
119245363,2011-9-7 0:04,194994,产品A,100,2,200
119245364,2011-9-7 0:05,113265,产品A,100,4,400
119245365,2011-9-7 0:05,120512,产品B,200,2,400
119245366,2011-9-7 0:05,144282,产品D,300,1,300
119245367,2011-9-7 0:05,153605,产品A,100,9,900
119245368,2011-9-7 0:05,156158,产品B,200,8,1600
119245369,2011-9-7 0:05,157113,产品D,300,3,900
119245370,2011-9-7 0:05,160075,产品D,300,9,2700
119245371,2011-9-7 0:05,169035,产品A,100,9,900
119245372,2011-9-7 0:05,172755,产品A,100,6,600
119245373,2011-9-7 0:05,174292,产品A,100,6,600
119245374,2011-9-7 0:05,175843,产品D,300,8,2400
119245375,2011-9-7 0:05,181670,产品A,100,5,500
119245376,2011-9-7 0:05,183677,产品A,100,5,500
119245377,2011-9-7 0:05,193738,产品A,100,7,700
119245378,2011-9-7 0:05,196833,产品D,300,5,1500
119245379,2011-9-7 0:06,108437,产品D,300,2,600
119245380,2011-9-7 0:06,111489,产品A,100,1,100
119245381,2011-9-7 0:06,113758,产品D,300,8,2400
119245382,2011-9-7 0:06,119150,产品A,100,9,900
119245383,2011-9-7 0:06,119243,产品A,100,1,100
119245384,2011-9-7 0:06,153665,产品C,280,2,560
119245385,2011-9-7 0:06,154234,产品B,200,4,800
119245386,2011-9-7 0:06,154234,产品B,200,9,1800
119245387,2011-9-7 0:06,168272,产品A,100,2,200
