订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119000001,2011-9-1 0:00,137401,产品D,300,9,2700
119000002,2011-9-1 0:00,177562,产品B,200,2,400
119000003,2011-9-1 0:00,133422,产品A,100,10,1000
119000004,2011-9-1 0:00,154597,产品D,300,7,2100
119000005,2011-9-1 0:00,138462,产品B,200,8,1600
119000006,2011-9-1 0:00,182291,产品D,300,10,3000
119000007,2011-9-1 0:00,158949,产品A,100,4,400
119000008,2011-9-1 0:00,132368,产品B,200,7,1400
119000009,2011-9-1 0:00,168738,产品B,200,5,1000
119000010,2011-9-1 0:00,165839,产品D,300,5,1500
119000011,2011-9-1 0:00,154583,产品A,100,8,800
119000012,2011-9-1 0:00,149841,产品B,200,9,1800
119000013,2011-9-1 0:00,176509,产品A,100,5,500
119000014,2011-9-1 0:00,164038,产品D,300,4,1200
119000015,2011-9-1 0:00,130887,产品B,200,10,2000
119000016,2011-9-1 0:00,184573,产品A,100,10,1000
119000017,2011-9-1 0:00,192415,产品D,300,7,2100
119000018,2011-9-1 0:00,119970,产品A,100,6,600
119000019,2011-9-1 0:00,146853,产品A,100,1,100
119000020,2011-9-1 0:00,162870,产品A,100,7,700
119000021,2011-9-1 0:00,151129,产品A,100,3,300
119000022,2011-9-1 0:00,128236,产品D,300,6,1800
119000023,2011-9-1 0:01,125428,产品E,400,1,400
119000024,2011-9-1 0:01,104629,产品A,100,3,300
119000025,2011-9-1 0:01,142285,产品A,100,3,300
119000026,2011-9-1 0:01,149841,产品B,200,5,1000
119000027,2011-9-1 0:01,155250,产品A,100,8,800
119000028,2011-9-1 0:01,155249,产品D,300,10,3000
119000029,2011-9-1 0:01,149841,产品B,200,1,200
119000030,2011-9-1 0:01,188536,产品A,100,6,600
119000031,2011-9-1 0:01,176509,产品A,100,9,900
119000032,2011-9-1 0:01,197966,产品D,300,10,3000
119000033,2011-9-1 0:01,124230,产品A,100,5,500
119000034,2011-9-1 0:01,179573,产品A,100,2,200
119000035,2011-9-1 0:01,154656,产品A,100,5,500
119000036,2011-9-1 0:01,169983,产品D,300,7,2100
119000037,2011-9-1 0:01,186789,产品D,300,4,1200
119000038,2011-9-1 0:01,193738,产品A,100,4,400
119000039,2011-9-1 0:01,171318,产品D,300,9,2700
119000040,2011-9-1 0:01,171632,产品A,100,3,300
119000041,2011-9-1 0:01,137401,产品D,300,3,900
119000042,2011-9-1 0:01,163648,产品A,100,9,900
119000043,2011-9-1 0:01,124009,产品D,300,5,1500
119000044,2011-9-1 0:01,163133,产品A,100,7,700
119000045,2011-9-1 0:01,164894,产品A,100,8,800
119000046,2011-9-1 0:01,152529,产品D,300,1,300
119000047,2011-9-1 0:02,187014,产品A,100,7,700
119000048,2011-9-1 0:02,182209,产品A,100,5,500
119000049,2011-9-1 0:02,193159,产品D,300,8,2400
119000050,2011-9-1 0:02,149841,产品B,200,9,1800
119000051,2011-9-1 0:02,112193,产品A,100,6,600
119000052,2011-9-1 0:02,149841,产品B,200,10,2000
119000053,2011-9-1 0:02,196695,产品A,100,5,500
119000054,2011-9-1 0:02,164269,产品A,100,3,300
119000055,2011-9-1 0:02,149841,产品B,200,6,1200
119000056,2011-9-1 0:02,168272,产品A,100,6,600
119000057,2011-9-1 0:02,186326,产品B,200,2,400
119000058,2011-9-1 0:02,193881,产品A,100,2,200
119000059,2011-9-1 0:02,149841,产品B,200,7,1400
119000060,2011-9-1 0:02,152397,产品C,280,4,1120
119000061,2011-9-1 0:02,127375,产品D,300,3,900
119000062,2011-9-1 0:02,175827,产品B,200,9,1800
119000063,2011-9-1 0:02,103868,产品B,200,6,1200
119000064,2011-9-1 0:02,135373,产品D,300,4,1200
119000065,2011-9-1 0:02,107347,产品A,100,5,500
119000066,2011-9-1 0:02,154656,产品A,100,4,400
119000067,2011-9-1 0:02,186326,产品B,200,1,200
119000068,2011-9-1 0:02,148694,产品D,300,7,2100
119000069,2011-9-1 0:02,125091,产品A,100,6,600
119000070,2011-9-1 0:02,149841,产品B,200,10,2000
119000071,2011-9-1 0:02,138256,产品A,100,9,900
119000072,2011-9-1 0:02,128284,产品A,100,6,600
119000073,2011-9-1 0:02,176509,产品A,100,5,500
119000074,2011-9-1 0:03,116858,产品B,200,10,2000
119000075,2011-9-1 0:03,181670,产品A,100,5,500
119000076,2011-9-1 0:03,177564,产品D,300,4,1200
119000077,2011-9-1 0:03,117680,产品D,300,7,2100
119000078,2011-9-1 0:03,110405,产品A,100,8,800
119000079,2011-9-1 0:03,151384,产品A,100,3,300
119000080,2011-9-1 0:03,193738,产品A,100,1,100
119000081,2011-9-1 0:03,196695,产品A,100,10,1000
119000082,2011-9-1 0:03,138322,产品D,300,5,1500
119000083,2011-9-1 0:03,181670,产品A,100,9,900
119000084,2011-9-1 0:03,130887,产品B,200,7,1400
119000085,2011-9-1 0:03,119664,产品D,300,4,1200
119000086,2011-9-1 0:03,144053,产品D,300,1,300
119000087,2011-9-1 0:03,140447,产品D,300,5,1500
119000088,2011-9-1 0:03,126394,产品B,200,8,1600
119000089,2011-9-1 0:03,161164,产品A,100,3,300
119000090,2011-9-1 0:03,149841,产品B,200,6,1200
119000091,2011-9-1 0:03,129063,产品A,100,2,200
119000092,2011-9-1 0:03,193771,产品D,300,1,300
119000093,2011-9-1 0:04,167181,产品D,300,6,1800
119000094,2011-9-1 0:04,198345,产品D,300,7,2100
119000095,2011-9-1 0:04,169839,产品D,300,10,3000
119000096,2011-9-1 0:04,193771,产品D,300,4,1200
119000097,2011-9-1 0:04,144053,产品D,300,9,2700
119000098,2011-9-1 0:04,139984,产品A,100,1,100
119000099,2011-9-1 0:04,192680,产品A,100,4,400
119000100,2011-9-1 0:04,181826,产品E,400,7,2800
119000101,2011-9-1 0:04,139445,产品A,100,10,1000
119000102,2011-9-1 0:04,143592,产品A,100,4,400
119000103,2011-9-1 0:04,167214,产品B,200,5,1000
119000104,2011-9-1 0:04,194994,产品A,100,2,200
119000105,2011-9-1 0:04,118006,产品A,100,2,200
119000106,2011-9-1 0:04,141436,产品D,300,1,300
119000107,2011-9-1 0:04,177564,产品D,300,2,600
119000108,2011-9-1 0:04,113438,产品A,100,8,800
119000109,2011-9-1 0:04,149349,产品D,300,3,900
119000110,2011-9-1 0:04,121514,产品D,300,10,3000
119000111,2011-9-1 0:05,153605,产品A,100,9,900
119000112,2011-9-1 0:05,170571,产品B,200,8,1600
119000113,2011-9-1 0:05,175843,产品D,300,8,2400
119000114,2011-9-1 0:05,183677,产品A,100,5,500
119000115,2011-9-1 0:05,141436,产品D,300,8,2400
119000116,2011-9-1 0:05,172755,产品A,100,6,600
119000117,2011-9-1 0:05,113265,产品A,100,4,400
119000118,2011-9-1 0:05,137026,产品B,200,6,1200
119000119,2011-9-1 0:05,160075,产品D,300,9,2700
