订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119152310,2011-9-4 0:00,106930,产品B,200,4,800
119152311,2011-9-4 0:00,109291,产品D,300,7,2100
119152312,2011-9-4 0:00,109872,产品B,200,7,1400
119152313,2011-9-4 0:00,115289,产品A,100,3,300
119152314,2011-9-4 0:00,116999,产品D,300,8,2400
119152315,2011-9-4 0:00,116999,产品D,300,3,900
119152316,2011-9-4 0:00,117744,产品D,300,8,2400
119152317,2011-9-4 0:00,118657,产品A,100,7,700
119152318,2011-9-4 0:00,120227,产品B,200,2,400
119152319,2011-9-4 0:00,120279,产品E,400,10,4000
119152320,2011-9-4 0:00,121117,产品B,200,6,1200
119152321,2011-9-4 0:00,123598,产品A,100,6,600
119152322,2011-9-4 0:00,124642,产品A,100,1,100
119152323,2011-9-4 0:00,126070,产品B,200,9,1800
119152324,2011-9-4 0:00,126318,产品B,200,10,2000
119152325,2011-9-4 0:00,129477,产品E,400,7,2800
119152326,2011-9-4 0:00,131010,产品A,100,4,400
119152327,2011-9-4 0:00,131062,产品D,300,6,1800
119152328,2011-9-4 0:00,131261,产品D,300,2,600
119152329,2011-9-4 0:00,133320,产品A,100,10,1000
119152330,2011-9-4 0:00,135038,产品B,200,3,600
119152331,2011-9-4 0:00,138024,产品A,100,2,200
119152332,2011-9-4 0:00,138192,产品A,100,5,500
119152333,2011-9-4 0:00,140101,产品B,200,9,1800
119152334,2011-9-4 0:00,140162,产品D,300,1,300
119152335,2011-9-4 0:00,142697,产品B,200,1,200
119152336,2011-9-4 0:00,148730,产品A,100,1,100
119152337,2011-9-4 0:00,148948,产品A,100,10,1000
119152338,2011-9-4 0:00,150134,产品B,200,1,200
119152339,2011-9-4 0:00,152886,产品A,100,6,600
119152340,2011-9-4 0:00,153004,产品D,300,10,3000
119152341,2011-9-4 0:00,153786,产品A,100,1,100
119152342,2011-9-4 0:00,157746,产品E,400,1,400
119152343,2011-9-4 0:00,160447,产品D,300,3,900
119152344,2011-9-4 0:00,163009,产品D,300,1,300
119152345,2011-9-4 0:00,166006,产品A,100,3,300
119152346,2011-9-4 0:00,168899,产品D,300,5,1500
119152347,2011-9-4 0:00,170224,产品B,200,3,600
119152348,2011-9-4 0:00,171102,产品D,300,4,1200
119152349,2011-9-4 0:00,171287,产品A,100,7,700
119152350,2011-9-4 0:00,172702,产品D,300,2,600
119152351,2011-9-4 0:00,174548,产品B,200,3,600
119152352,2011-9-4 0:00,176020,产品A,100,4,400
119152353,2011-9-4 0:00,178996,产品B,200,4,800
119152354,2011-9-4 0:00,179414,产品D,300,2,600
119152355,2011-9-4 0:00,179414,产品D,300,4,1200
119152356,2011-9-4 0:00,179414,产品D,300,4,1200
119152357,2011-9-4 0:00,180852,产品B,200,2,400
119152358,2011-9-4 0:00,180926,产品A,100,4,400
119152359,2011-9-4 0:00,181214,产品E,400,8,3200
119152360,2011-9-4 0:00,183432,产品A,100,5,500
119152361,2011-9-4 0:00,183548,产品B,200,3,600
119152362,2011-9-4 0:00,183974,产品A,100,3,300
119152363,2011-9-4 0:00,184510,产品A,100,1,100
119152364,2011-9-4 0:00,184842,产品A,100,7,700
119152365,2011-9-4 0:00,186059,产品A,100,10,1000
119152366,2011-9-4 0:00,191953,产品C,280,9,2520
119152367,2011-9-4 0:00,192008,产品B,200,10,2000
119152368,2011-9-4 0:00,192689,产品A,100,1,100
119152369,2011-9-4 0:00,193187,产品A,100,9,900
119152370,2011-9-4 0:00,194631,产品C,280,9,2520
119152371,2011-9-4 0:00,194631,产品C,280,7,1960
