订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119228844,2011-9-5 0:00,128236,产品D,300,6,1800
119228845,2011-9-5 0:00,132368,产品B,200,7,1400
119228846,2011-9-5 0:00,137401,产品D,300,9,2700
119228847,2011-9-5 0:00,138462,产品B,200,8,1600
119228848,2011-9-5 0:00,146853,产品A,100,1,100
119228849,2011-9-5 0:00,154583,产品A,100,8,800
119228850,2011-9-5 0:00,154597,产品D,300,7,2100
119228851,2011-9-5 0:00,158949,产品A,100,4,400
119228852,2011-9-5 0:00,162870,产品A,100,7,700
119228853,2011-9-5 0:00,164038,产品D,300,4,1200
119228854,2011-9-5 0:00,165839,产品D,300,5,1500
119228855,2011-9-5 0:00,176509,产品A,100,5,500
119228856,2011-9-5 0:00,177562,产品B,200,2,400
119228857,2011-9-5 0:00,184573,产品A,100,10,1000
119228858,2011-9-5 0:00,192415,产品D,300,7,2100
119228859,2011-9-5 0:01,124009,产品D,300,5,1500
119228860,2011-9-5 0:01,125428,产品E,400,1,400
119228861,2011-9-5 0:01,137401,产品D,300,3,900
119228862,2011-9-5 0:01,142285,产品A,100,3,300
119228863,2011-9-5 0:01,149841,产品B,200,5,1000
119228864,2011-9-5 0:01,149841,产品B,200,1,200
119228865,2011-9-5 0:01,152529,产品D,300,1,300
119228866,2011-9-5 0:01,154656,产品A,100,5,500
119228867,2011-9-5 0:01,155249,产品D,300,10,3000
119228868,2011-9-5 0:01,163133,产品A,100,7,700
119228869,2011-9-5 0:01,171632,产品A,100,3,300
119228870,2011-9-5 0:01,176509,产品A,100,9,900
119228871,2011-9-5 0:01,179573,产品A,100,2,200
119228872,2011-9-5 0:01,186789,产品D,300,4,1200
119228873,2011-9-5 0:01,193738,产品A,100,4,400
119228874,2011-9-5 0:01,197966,产品D,300,10,3000
119228875,2011-9-5 0:02,107347,产品A,100,5,500
119228876,2011-9-5 0:02,127375,产品D,300,3,900
119228877,2011-9-5 0:02,135373,产品D,300,4,1200
119228878,2011-9-5 0:02,138256,产品A,100,9,900
119228879,2011-9-5 0:02,148694,产品D,300,7,2100
119228880,2011-9-5 0:02,149841,产品B,200,10,2000
119228881,2011-9-5 0:02,149841,产品B,200,6,1200
119228882,2011-9-5 0:02,149841,产品B,200,10,2000
119228883,2011-9-5 0:02,149841,产品B,200,9,1800
119228884,2011-9-5 0:02,149841,产品B,200,7,1400
119228885,2011-9-5 0:02,168272,产品A,100,6,600
119228886,2011-9-5 0:02,175827,产品B,200,9,1800
119228887,2011-9-5 0:02,176509,产品A,100,5,500
119228888,2011-9-5 0:02,186326,产品B,200,1,200
119228889,2011-9-5 0:02,187014,产品A,100,7,700
119228890,2011-9-5 0:02,193159,产品D,300,8,2400
119228891,2011-9-5 0:02,193881,产品A,100,2,200
119228892,2011-9-5 0:02,196695,产品A,100,5,500
119228893,2011-9-5 0:03,116858,产品B,200,10,2000
119228894,2011-9-5 0:03,117680,产品D,300,7,2100
119228895,2011-9-5 0:03,119664,产品D,300,4,1200
119228896,2011-9-5 0:03,126394,产品B,200,8,1600
119228897,2011-9-5 0:03,129063,产品A,100,2,200
119228898,2011-9-5 0:03,138322,产品D,300,5,1500
119228899,2011-9-5 0:03,144053,产品D,300,1,300
119228900,2011-9-5 0:03,151384,产品A,100,3,300
119228901,2011-9-5 0:03,161164,产品A,100,3,300
119228902,2011-9-5 0:03,177564,产品D,300,4,1200
119228903,2011-9-5 0:03,181670,产品A,100,9,900
119228904,2011-9-5 0:03,193738,产品A,100,1,100
119228905,2011-9-5 0:03,193771,产品D,300,1,300
119228906,2011-9-5 0:04,121514,产品D,300,10,3000
119228907,2011-9-5 0:04,139445,产品A,100,10,1000
119228908,2011-9-5 0:04,139984,产品A,100,1,100
119228909,2011-9-5 0:04,141436,产品D,300,1,300
119228910,2011-9-5 0:04,144053,产品D,300,9,2700
119228911,2011-9-5 0:04,149349,产品D,300,3,900
119228912,2011-9-5 0:04,167214,产品B,200,5,1000
119228913,2011-9-5 0:04,169839,产品D,300,10,3000
119228914,2011-9-5 0:04,177564,产品D,300,2,600
119228915,2011-9-5 0:04,181826,产品E,400,7,2800
119228916,2011-9-5 0:04,194994,产品A,100,2,200
119228917,2011-9-5 0:04,198345,产品D,300,7,2100
119228918,2011-9-5 0:05,130887,产品B,200,10,2000
119228919,2011-9-5 0:05,135168,产品A,100,3,300
119228920,2011-9-5 0:05,137026,产品B,200,6,1200
119228921,2011-9-5 0:05,141436,产品D,300,8,2400
119228922,2011-9-5 0:05,147227,产品A,100,2,200
119228923,2011-9-5 0:05,148115,产品A,100,9,900
119228924,2011-9-5 0:05,157113,产品D,300,3,900
119228925,2011-9-5 0:05,160075,产品D,300,9,2700
119228926,2011-9-5 0:05,170571,产品B,200,8,1600
