订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119254282,2011-9-8 0:00,114551,产品A,100,1,100
119254283,2011-9-8 0:00,114685,产品B,200,2,400
119254284,2011-9-8 0:00,115187,产品B,200,9,1800
119254285,2011-9-8 0:00,120490,产品A,100,10,1000
119254286,2011-9-8 0:00,138246,产品D,300,5,1500
119254287,2011-9-8 0:00,163344,产品A,100,4,400
119254288,2011-9-8 0:00,166817,产品A,100,6,600
119254289,2011-9-8 0:00,178746,产品D,300,4,1200
119254290,2011-9-8 0:00,178918,产品A,100,5,500
119254291,2011-9-8 0:00,192190,产品B,200,7,1400
119254292,2011-9-8 0:00,196689,产品D,300,9,2700
119254293,2011-9-8 0:01,111104,产品A,100,7,700
119254294,2011-9-8 0:01,118739,产品A,100,5,500
119254295,2011-9-8 0:01,149538,产品D,300,1,300
119254296,2011-9-8 0:01,163324,产品D,300,5,1500
119254297,2011-9-8 0:01,164464,产品B,200,1,200
119254298,2011-9-8 0:01,165123,产品D,300,7,2100
119254299,2011-9-8 0:01,165678,产品A,100,2,200
119254300,2011-9-8 0:01,170784,产品A,100,8,800
119254301,2011-9-8 0:02,111210,产品A,100,5,500
119254302,2011-9-8 0:02,111580,产品A,100,6,600
119254303,2011-9-8 0:02,112350,产品B,200,7,1400
119254304,2011-9-8 0:02,114935,产品A,100,5,500
119254305,2011-9-8 0:02,117459,产品D,300,7,2100
119254306,2011-9-8 0:02,121475,产品A,100,5,500
119254307,2011-9-8 0:02,148917,产品A,100,2,200
119254308,2011-9-8 0:02,163142,产品B,200,10,2000
119254309,2011-9-8 0:02,172116,产品D,300,4,1200
119254310,2011-9-8 0:02,187839,产品A,100,5,500
119254311,2011-9-8 0:02,194919,产品A,100,4,400
119254312,2011-9-8 0:02,196440,产品A,100,6,600
119254313,2011-9-8 0:03,113309,产品A,100,8,800
119254314,2011-9-8 0:03,114401,产品D,300,7,2100
119254315,2011-9-8 0:03,115644,产品A,100,3,300
119254316,2011-9-8 0:03,115961,产品D,300,5,1500
119254317,2011-9-8 0:03,119927,产品A,100,1,100
119254318,2011-9-8 0:03,140535,产品A,100,3,300
119254319,2011-9-8 0:03,170572,产品A,100,2,200
119254320,2011-9-8 0:04,114836,产品A,100,8,800
119254321,2011-9-8 0:04,116466,产品D,300,9,2700
119254322,2011-9-8 0:04,132176,产品B,200,5,1000
119254323,2011-9-8 0:04,149367,产品D,300,1,300
119254324,2011-9-8 0:04,186495,产品D,300,2,600
119254325,2011-9-8 0:05,111208,产品A,100,3,300
119254326,2011-9-8 0:05,150230,产品D,300,8,2400
119254327,2011-9-8 0:05,166883,产品B,200,2,400
119254328,2011-9-8 0:06,108372,产品D,300,4,1200
119254329,2011-9-8 0:06,110682,产品B,200,9,1800
119254330,2011-9-8 0:06,115003,产品A,100,1,100
119254331,2011-9-8 0:06,115580,产品B,200,9,1800
119254332,2011-9-8 0:06,123033,产品D,300,3,900
119254333,2011-9-8 0:06,154459,产品D,300,2,600
119254334,2011-9-8 0:06,162613,产品B,200,4,800
119254335,2011-9-8 0:06,166993,产品A,100,1,100
119254336,2011-9-8 0:06,176614,产品A,100,2,200
119254337,2011-9-8 0:06,192704,产品E,400,9,3600
119254338,2011-9-8 0:06,193128,产品A,100,4,400
119254339,2011-9-8 0:07,113499,产品B,200,7,1400
119254340,2011-9-8 0:07,113723,产品A,100,1,100
119254341,2011-9-8 0:07,115185,产品A,100,7,700
119254342,2011-9-8 0:07,116790,产品A,100,1,100
119254343,2011-9-8 0:07,146392,产品A,100,10,1000
119254344,2011-9-8 0:07,160749,产品A,100,6,600
119254345,2011-9-8 0:07,180418,产品A,100,9,900
119254346,2011-9-8 0:07,185905,产品D,300,10,3000
119254347,2011-9-8 0:07,187900,产品D,300,7,2100
119254348,2011-9-8 0:08,101165,产品D,300,7,2100
119254349,2011-9-8 0:08,107143,产品D,300,8,2400
119254350,2011-9-8 0:08,110605,产品A,100,3,300
119254351,2011-9-8 0:08,110855,产品B,200,5,1000
119254352,2011-9-8 0:08,110970,产品A,100,8,800
119254353,2011-9-8 0:08,115785,产品A,100,7,700
119254354,2011-9-8 0:08,138838,产品D,300,3,900
119254355,2011-9-8 0:08,185316,产品A,100,5,500
119254356,2011-9-8 0:09,113175,产品A,100,2,200
119254357,2011-9-8 0:09,113317,产品D,300,4,1200
119254358,2011-9-8 0:09,114226,产品D,300,5,1500
119254359,2011-9-8 0:09,114447,产品A,100,7,700
119254360,2011-9-8 0:09,116173,产品A,100,1,100
119254361,2011-9-8 0:09,121515,产品D,300,7,2100
119254362,2011-9-8 0:09,129951,产品A,100,10,1000
119254363,2011-9-8 0:09,131636,产品D,300,7,2100
119254364,2011-9-8 0:09,194949,产品A,100,1,100
119254365,2011-9-8 0:10,109263,产品A,100,4,400
119254366,2011-9-8 0:10,116323,产品A,100,7,700
119254367,2011-9-8 0:10,122703,产品D,300,8,2400
119254368,2011-9-8 0:10,124820,产品B,200,5,1000
119254369,2011-9-8 0:10,163184,产品A,100,4,400
119254370,2011-9-8 0:10,171137,产品A,100,4,400
119254371,2011-9-8 0:11,114910,产品A,100,2,200
